0,0,23278000,1
2,0,23642000,1
0,0,24187000,1
2,0,24369000,1
0,0,24733000,1
2,0,25096000,1
0,0,25642000,1
2,0,25824000,1
0,1,26187000,3
2,0,26551000,1
2,0,27278000,1
0,1,27642000,3
2,0,28006000,1
0,0,28551000,1
2,0,28733000,1
1,0,29096000,1
3,0,29460000,1
1,0,30006000,1
3,0,30187000,1
1,0,30551000,1
3,0,30915000,1
1,0,31460000,1
3,0,31642000,1
1,0,32006000,1
3,0,32369000,1
1,0,32915000,1
3,0,33096000,1
0,0,33460000,1
3,0,33824000,1
0,0,34369000,1
3,0,34551000,1
0,0,34915000,1
2,0,35278000,1
0,0,35824000,1
2,0,36006000,1
0,0,36369000,1
2,0,36733000,1
0,0,37278000,1
2,0,37460000,1
0,0,37824000,1
3,0,38187000,1
0,0,38733000,1
3,0,38915000,1
0,0,39278000,1
1,0,39642000,1
0,0,40187000,1
3,0,40369000,1
0,0,40733000,1
3,0,41096000,1
0,0,41642000,1
1,0,41824000,1
0,0,42187000,1
2,0,42551000,1
0,0,43096000,1
2,0,43278000,1
1,0,43642000,1
2,0,44006000,1
1,0,44551000,1
2,0,44733000,1
2,0,45096000,1
2,0,45278000,1
2,0,45460000,1
0,0,45460000,1
2,0,45642000,1
2,0,45824000,1
2,0,46006000,1
2,0,46187000,1
2,0,46369000,1
2,0,46551000,1
0,0,46915000,1
2,0,47460000,1
0,0,47642000,1
2,0,48006000,1
0,0,48369000,1
2,0,48915000,1
0,0,49096000,1
2,0,49460000,1
0,0,49824000,1
2,0,50369000,1
0,0,50551000,1
2,0,50915000,1
0,0,51278000,1
2,0,51824000,1
0,0,52006000,1
2,0,52369000,1
0,0,52733000,1
3,0,53096000,1
2,0,53278000,1
0,0,53460000,1
2,0,53824000,1
1,0,54187000,1
2,0,54733000,1
1,0,54915000,1
3,0,55460000,1
1,0,55824000,1
3,0,56369000,1
1,0,56551000,1
2,0,56733000,1
1,0,56915000,1
0,0,57096000,1
0,0,57460000,1
1,0,57642000,1
2,0,57824000,1
3,0,58006000,1
3,0,58187000,1
0,0,58551000,1
3,0,59096000,1
0,0,59278000,1
0,0,59642000,1
3,0,59642000,1
2,0,60006000,1
2,0,60369000,1
2,0,60551000,1
2,0,60733000,1
0,0,60733000,1
