51,192,23278,1,0,0:0:0:0:
256,192,23642,1,0,0:0:0:0:
51,192,24187,1,0,0:0:0:0:
256,192,24369,1,0,0:0:0:0:
51,192,24733,1,0,0:0:0:0:
256,192,25096,1,0,0:0:0:0:
51,192,25642,1,0,0:0:0:0:
256,192,25824,1,0,0:0:0:0:
51,192,26187,1,0,0:0:0:0:
256,192,26551,1,0,0:0:0:0:
51,192,27096,1,0,0:0:0:0:
256,192,27278,1,0,0:0:0:0:
51,192,27642,1,0,0:0:0:0:
256,192,28006,1,0,0:0:0:0:
51,192,28551,1,0,0:0:0:0:
256,192,28733,1,0,0:0:0:0:
153,192,29096,1,0,0:0:0:0:
358,192,29460,1,0,0:0:0:0:
153,192,30006,1,0,0:0:0:0:
358,192,30187,1,0,0:0:0:0:
153,192,30551,1,0,0:0:0:0:
358,192,30915,1,0,0:0:0:0:
153,192,31460,1,0,0:0:0:0:
358,192,31642,1,0,0:0:0:0:
153,192,32006,1,0,0:0:0:0:
358,192,32369,1,0,0:0:0:0:
153,192,32915,1,0,0:0:0:0:
358,192,33096,1,0,0:0:0:0:
51,192,33460,1,0,0:0:0:0:
358,192,33824,1,0,0:0:0:0:
51,192,34369,1,0,0:0:0:0:
358,192,34551,1,0,0:0:0:0:
51,192,34915,1,0,0:0:0:0:
256,192,35278,1,0,0:0:0:0:
51,192,35824,1,0,0:0:0:0:
256,192,36006,1,0,0:0:0:0:
51,192,36369,1,0,0:0:0:0:
256,192,36733,1,0,0:0:0:0:
51,192,37278,1,0,0:0:0:0:
256,192,37460,1,0,0:0:0:0:
51,192,37824,1,0,0:0:0:0:
358,192,38187,1,0,0:0:0:0:
51,192,38733,1,0,0:0:0:0:
358,192,38915,1,0,0:0:0:0:
51,192,39278,1,0,0:0:0:0:
153,192,39642,1,0,0:0:0:0:
51,192,40187,1,0,0:0:0:0:
358,192,40369,1,0,0:0:0:0:
51,192,40733,1,0,0:0:0:0:
358,192,41096,1,0,0:0:0:0:
51,192,41642,1,0,0:0:0:0:
153,192,41824,1,0,0:0:0:0:
51,192,42187,1,0,0:0:0:0:
256,192,42551,1,0,0:0:0:0:
51,192,43096,1,0,0:0:0:0:
256,192,43278,1,0,0:0:0:0:
153,192,43642,1,0,0:0:0:0:
256,192,44006,1,0,0:0:0:0:
153,192,44551,1,0,0:0:0:0:
256,192,44733,1,0,0:0:0:0:
256,192,45096,1,0,0:0:0:0:
256,192,45278,1,0,0:0:0:0:
256,192,45460,1,0,0:0:0:0:
51,192,45460,1,0,0:0:0:0:
256,192,45642,1,0,0:0:0:0:
256,192,45824,1,0,0:0:0:0:
256,192,46006,1,0,0:0:0:0:
256,192,46187,1,0,0:0:0:0:
256,192,46369,1,0,0:0:0:0:
256,192,46551,1,0,0:0:0:0:
51,192,46915,1,0,0:0:0:0:
256,192,47460,1,0,0:0:0:0:
51,192,47642,1,0,0:0:0:0:
256,192,48006,1,0,0:0:0:0:
51,192,48369,1,0,0:0:0:0:
256,192,48915,1,0,0:0:0:0:
51,192,49096,1,0,0:0:0:0:
256,192,49460,1,0,0:0:0:0:
51,192,49824,1,0,0:0:0:0:
256,192,50369,1,0,0:0:0:0:
51,192,50551,1,0,0:0:0:0:
256,192,50915,1,0,0:0:0:0:
51,192,51278,1,0,0:0:0:0:
256,192,51824,1,0,0:0:0:0:
51,192,52006,1,0,0:0:0:0:
256,192,52369,1,0,0:0:0:0:
51,192,52733,1,0,0:0:0:0:
358,192,53096,1,0,0:0:0:0:
256,192,53278,1,0,0:0:0:0:
51,192,53460,1,0,0:0:0:0:
256,192,53824,1,0,0:0:0:0:
153,192,54187,1,0,0:0:0:0:
256,192,54733,1,0,0:0:0:0:
153,192,54915,1,0,0:0:0:0:
358,192,55460,1,0,0:0:0:0:
153,192,55824,1,0,0:0:0:0:
358,192,56369,1,0,0:0:0:0:
153,192,56551,1,0,0:0:0:0:
256,192,56733,1,0,0:0:0:0:
153,192,56915,1,0,0:0:0:0:
51,192,57096,1,0,0:0:0:0:
51,192,57460,1,0,0:0:0:0:
153,192,57642,1,0,0:0:0:0:
256,192,57824,1,0,0:0:0:0:
358,192,58006,1,0,0:0:0:0:
358,192,58187,1,0,0:0:0:0:
51,192,58551,1,0,0:0:0:0:
358,192,59096,1,0,0:0:0:0:
51,192,59278,1,0,0:0:0:0:
51,192,59642,1,0,0:0:0:0:
358,192,59642,1,0,0:0:0:0:
256,192,60006,1,0,0:0:0:0:
256,192,60369,1,0,0:0:0:0:
256,192,60551,1,0,0:0:0:0:
256,192,60733,1,0,0:0:0:0:
51,192,60733,1,0,0:0:0:0:
